pwr_idx,date,time,pwr_amount,plant_idx,pwr_memo
1,2020-01-01,1,1500,1,
2,2020-01-01,2,1500,1,
3,2020-01-01,3,700,1,
4,2020-01-01,4,0,1,
5,2020-01-01,5,0,1,
6,2020-01-01,6,20,1,
7,2020-01-01,7,90,1,
8,2020-01-01,8,1090,1,
9,2020-01-01,9,72070,1,
10,2020-01-01,10,231220,1,
11,2020-01-01,11,209430,1,
12,2020-01-01,12,275660,1,
13,2020-01-01,13,277620,1,
14,2020-01-01,14,273350,1,
15,2020-01-01,15,230350,1,
16,2020-01-01,16,157280,1,
17,2020-01-01,17,81660,1,
18,2020-01-01,18,89010,1,
19,2020-01-01,19,101790,1,
20,2020-01-01,20,114010,1,
21,2020-01-01,21,77810,1,
22,2020-01-01,22,19570,1,
23,2020-01-01,23,1110,1,
24,2020-01-02,1,1500,1,
25,2020-01-02,2,1010,1,
26,2020-01-02,3,10,1,
27,2020-01-02,4,0,1,
28,2020-01-02,5,0,1,
29,2020-01-02,6,20,1,
30,2020-01-02,7,70,1,
31,2020-01-02,8,450,1,
32,2020-01-02,9,38250,1,
33,2020-01-02,10,182280,1,
34,2020-01-02,11,196370,1,
35,2020-01-02,12,306970,1,
36,2020-01-02,13,354870,1,
37,2020-01-02,14,340420,1,
38,2020-01-02,15,329330,1,
39,2020-01-02,16,206180,1,
40,2020-01-02,17,84490,1,
41,2020-01-02,18,97800,1,
42,2020-01-02,19,140010,1,
43,2020-01-02,20,121120,1,
44,2020-01-02,21,85960,1,
45,2020-01-02,22,24400,1,
46,2020-01-02,23,5740,1,
47,2020-01-03,1,1500,1,
48,2020-01-03,2,1510,1,
49,2020-01-03,3,700,1,
50,2020-01-03,4,10,1,
51,2020-01-03,5,0,1,
52,2020-01-03,6,20,1,
53,2020-01-03,7,80,1,
54,2020-01-03,8,670,1,
55,2020-01-03,9,56240,1,
56,2020-01-03,10,209420,1,
57,2020-01-03,11,255130,1,
58,2020-01-03,12,305510,1,
59,2020-01-03,13,323100,1,
60,2020-01-03,14,366920,1,
61,2020-01-03,15,354150,1,
62,2020-01-03,16,238360,1,
63,2020-01-03,17,97510,1,
64,2020-01-03,18,89090,1,
65,2020-01-03,19,136430,1,
66,2020-01-03,20,131330,1,
67,2020-01-03,21,97840,1,
68,2020-01-03,22,36230,1,
69,2020-01-03,23,2100,1,
70,2020-01-04,1,1500,1,
71,2020-01-04,2,1500,1,
72,2020-01-04,3,680,1,
73,2020-01-04,4,0,1,
74,2020-01-04,5,10,1,
75,2020-01-04,6,30,1,
76,2020-01-04,7,50,1,
77,2020-01-04,8,670,1,
78,2020-01-04,9,54680,1,
79,2020-01-04,10,182740,1,
