date,time,temp,humidity,pressure,sunshine_hours,cloud_coverage,low_mid_cloud_coverage,sea_temp,so2,co,o3,no2,pm10,pm25,plant_idx
2020-01-01,1,-1.6,69,1031.5,0,9,9,8.4,0.005,0.2,0.033,0.003,8,5,1
2020-01-01,2,-2.5,70,1032,0,4,4,8.8,0.005,0.2,0.032,0.004,12,5,1
2020-01-01,3,-2.5,67,1032.4,0,9,9,9,0.005,0.2,0.031,0.004,10,6,1
2020-01-01,4,-3,67,1032.1,0,6,6,9.1,0.005,0.2,0.03,0.004,10,7,1
2020-01-01,5,-3.2,68,1031.7,0,8,8,9.1,0.005,0.2,0.03,0.004,9,9,1
2020-01-01,6,-3.1,69,1031.9,0,7,1,9.2,0.005,0.2,0.03,0.003,10,6,1
2020-01-01,7,-4.7,82,1032.3,0,5,2,9.1,0.005,0.2,0.026,0.005,12,6,1
2020-01-01,8,-4.7,83,1032.5,0,0,0,9.1,0.005,0.2,0.021,0.011,12,5,1
2020-01-01,9,-3.6,84,1032.6,0.1,2,0,8.6,0.005,0.2,0.02,0.01,12,6,1
2020-01-01,10,0.4,65,1033.2,0.9,7,3,8.3,0.005,0.2,0.026,0.008,13,11,1
2020-01-01,11,3.5,61,1032.9,0.9,7,4,8,0.005,0.2,0.032,0.004,13,9,1
2020-01-01,12,4.2,61,1031.8,0.8,7,6,8.1,0.005,0.2,0.033,0.004,11,8,1
2020-01-01,13,4.7,59,1031,0.6,0,8,8.2,0.005,0.2,0.035,0.004,9,6,1
2020-01-01,14,5.1,57,1030.2,0,8,8,9,0.005,0.2,0.034,0.005,11,3,1
2020-01-01,15,4.9,62,1030.3,0.1,9,9,9.1,0.005,0.2,0.034,0.005,14,3,1
2020-01-01,16,4.7,64,1031.1,0,9,9,9,0.005,0.2,0.035,0.005,16,7,1
2020-01-01,17,4.6,62,1030.7,0,10,10,9.2,0.005,0.2,0.035,0.006,19,9,1
2020-01-01,18,4.3,64,1030.5,0,9,9,9,0.005,0.2,0.033,0.007,17,11,1
2020-01-01,19,4,62,1030.4,0,9,9,9.1,0.005,0.2,0.035,0.005,19,13,1
2020-01-01,20,3.5,62,1030,0,5,5,9.2,0.005,0.2,0.035,0.006,17,12,1
2020-01-01,21,1,72,1030.6,0,6,1,9,0.005,0.2,0.031,0.009,19,13,1
2020-01-01,22,0.4,81,1030.7,0,9,9,9.1,0.005,0.2,0.031,0.007,22,14,1
2020-01-01,23,-0.3,86,1030.8,0,10,9,8.3,0.005,0.3,0.029,0.006,17,12,1
2020-01-02,1,-1.6,90,1029.2,0,9,1,8.1,0.005,0.3,0.029,0.006,23,17,1
2020-01-02,2,-1.5,91,1029,0,1,0,8.1,0.005,0.3,0.031,0.006,24,15,1
2020-01-02,3,-2.3,93,1028.8,0,2,0,8.8,0.006,0.3,0.029,0.007,25,13,1
