date,time,temp,humidity,pressure,sunshine_hours,cloud_coverage,low_mid_cloud_coverage,sea_temp,so2,co,o3,no2,pm10,pm25,plant_idx
2024-06-12,1,18.4,98.0,997.6,0.0,10.0,10.0,0.0,0.002,0.2,0.054,0.008,8,7,1
2024-06-12,2,17.6,98.0,996.9,0.0,10.0,10.0,0.0,0.002,0.3,0.056,0.006,6,0,1
2024-06-12,3,17.7,98.0,997.0,0.0,10.0,10.0,0.0,0.002,0.2,0.06,0.002,12,9,1
2024-06-12,4,17.5,98.0,997.1,0.0,10.0,10.0,0.0,0.002,0.3,0.057,0.003,14,14,1
2024-06-12,5,18.2,98.0,998.1,0.0,10.0,10.0,0.0,0.002,0.3,0.058,0.003,8,7,1
2024-06-12,6,17.8,98.0,998.5,0.0,10.0,10.0,0.0,0.002,0.2,0.056,0.003,3,0,1
2024-06-12,7,18.0,98.0,998.1,0.0,10.0,10.0,0.0,0.002,0.2,0.051,0.011,8,7,1
2024-06-12,8,18.5,96.0,998.8,0.1,10.0,10.0,0.0,0.002,0.2,0.057,0.005,6,6,1
2024-06-12,9,18.6,96.0,999.3,0.0,10.0,10.0,0.0,0.002,0.2,0.059,0.004,6,0,1
2024-06-12,10,20.1,89.0,999.1,0.0,10.0,10.0,0.0,0.002,0.2,0.062,0.002,15,6,1
2024-06-12,11,20.5,87.0,998.7,0.0,10.0,10.0,0.0,0.002,0.2,0.065,0.003,13,13,1
2024-06-12,12,21.2,81.0,998.4,0.1,10.0,10.0,0.0,0.002,0.2,0.07,0.003,16,9,1
2024-06-12,13,23.4,72.0,998.0,0.9,5.0,0.0,0.0,0.002,0.2,0.071,0.003,16,8,1
2024-06-12,14,24.5,72.0,996.9,1.0,5.0,0.0,0.0,0.002,0.2,0.069,0.003,18,14,1
2024-06-12,15,24.1,65.0,996.4,0.9,6.0,0.0,0.0,0.002,0.2,0.072,0.004,10,7,1
2024-06-12,16,24.2,63.0,996.4,1.0,7.0,0.0,0.0,0.002,0.2,0.073,0.004,21,11,1
2024-06-12,17,25.8,52.0,996.4,1.0,5.0,0.0,0.0,0.002,0.2,0.068,0.006,15,11,1
2024-06-12,18,23.1,68.0,996.5,1.0,4.0,0.0,0.0,0.003,0.0,0.065,0.013,65,44,1
2024-06-12,19,22.0,72.0,996.5,1.0,0.0,0.0,0.0,0.002,0.0,0.055,0.011,101,73,1
2024-06-12,20,20.6,77.0,996.4,0.2,0.0,0.0,0.0,0.002,0.4,0.065,0.003,6,0,1
2024-06-12,21,18.0,91.0,996.7,0.0,0.0,0.0,0.0,0.002,0.3,0.06,0.003,5,0,1
2024-06-12,22,18.9,89.0,997.3,0.0,0.0,0.0,0.0,0.002,0.3,0.061,0.003,9,6,1
2024-06-12,23,19.0,91.0,997.0,0.0,0.0,0.0,0.0,0.002,0.2,0.053,0.004,11,8,1
2024-06-13,1,19.3,94.0,996.4,0.0,0.0,0.0,0.0,0.002,0.2,0.048,0.003,5,0,1
2024-06-13,2,19.0,95.0,996.1,0.0,0.0,0.0,0.0,0.002,0.2,0.034,0.003,16,16,1
2024-06-13,3,19.2,97.0,996.2,0.0,0.0,0.0,0.0,0.002,0.2,0.025,0.005,21,12,1
2024-06-13,4,18.9,96.0,996.4,0.0,0.0,0.0,0.0,0.002,0.2,0.025,0.007,18,16,1
2024-06-13,5,19.0,97.0,996.2,0.0,0.0,0.0,0.0,0.002,0.2,0.024,0.01,18,12,1
2024-06-13,6,19.2,97.0,996.5,0.0,0.0,0.0,0.0,0.002,0.2,0.04,0.007,11,0,1
2024-06-13,7,21.3,87.0,997.2,0.9,0.0,0.0,0.0,0.002,0.2,0.037,0.008,12,10,1
2024-06-13,8,23.5,75.0,997.5,1.0,0.0,0.0,0.0,0.002,0.2,0.035,0.006,17,11,1
2024-06-13,9,24.5,67.0,997.0,1.0,0.0,0.0,0.0,0.002,0.2,0.049,0.003,18,16,1
2024-06-13,10,25.6,59.0,996.7,1.0,0.0,0.0,0.0,0.002,0.2,0.047,0.006,19,16,1
2024-06-13,11,26.2,50.0,996.3,1.0,0.0,0.0,0.0,0.002,0.2,0.053,0.003,15,14,1
2024-06-13,12,26.2,55.0,996.7,1.0,0.0,0.0,0.0,0.002,0.2,0.057,0.002,19,15,1
2024-06-13,13,26.0,65.0,996.9,1.0,0.0,0.0,0.0,0.002,0.2,0.059,0.003,26,9,1
2024-06-13,14,25.5,71.0,996.4,1.0,0.0,0.0,0.0,0.002,0.2,0.057,0.002,13,9,1
2024-06-13,15,25.5,67.0,996.2,1.0,0.0,0.0,0.0,0.002,0.2,0.054,0.003,12,10,1
2024-06-13,16,25.6,67.0,996.3,1.0,0.0,0.0,0.0,0.002,0.2,0.051,0.002,11,11,1
2024-06-13,17,24.8,72.0,996.1,1.0,0.0,0.0,0.0,0.002,0.2,0.048,0.002,17,12,1
2024-06-13,18,24.0,74.0,996.1,1.0,0.0,0.0,0.0,0.002,0.2,0.042,0.002,23,14,1
2024-06-13,19,22.0,84.0,996.1,1.0,0.0,0.0,0.0,0.002,0.2,0.041,0.002,16,15,1
2024-06-13,20,20.8,87.0,996.5,0.5,0.0,0.0,0.0,0.002,0.2,0.039,0.002,14,0,1
2024-06-13,21,20.3,92.0,997.0,0.0,0.0,0.0,0.0,0.002,0.2,0.027,0.006,23,17,1
2024-06-13,22,20.2,92.0,997.1,0.0,0.0,0.0,0.0,0.002,0.2,0.029,0.006,12,0,1
2024-06-13,23,20.3,92.0,997.0,0.0,0.0,0.0,0.0,0.002,0.2,0.033,0.005,14,11,1
2024-06-14,1,20.1,88.0,996.6,0.0,0.0,0.0,0.0,0.002,0.2,0.026,0.005,10,10,1
2024-06-14,2,19.5,87.0,996.6,0.0,6.0,0.0,0.0,0.002,0.2,0.033,0.005,18,10,1
2024-06-14,3,19.3,86.0,996.6,0.0,6.0,0.0,0.0,0.002,0.2,0.028,0.009,8,8,1
2024-06-14,4,19.0,83.0,996.6,0.0,5.0,0.0,0.0,0.002,0.2,0.028,0.007,13,10,1
2024-06-14,5,19.4,76.0,997.5,0.0,0.0,0.0,0.0,0.002,0.2,0.03,0.012,16,12,1
2024-06-14,6,19.3,78.0,997.6,0.0,6.0,0.0,0.0,0.002,0.2,0.04,0.01,9,8,1
2024-06-14,7,20.9,76.0,997.8,0.8,6.0,0.0,0.0,0.002,0.2,0.045,0.004,18,7,1
2024-06-14,8,22.2,76.0,997.8,0.8,9.0,9.0,0.0,0.002,0.2,0.043,0.006,20,9,1
2024-06-14,9,22.1,79.0,998.1,0.0,10.0,10.0,0.0,0.002,0.2,0.04,0.005,12,11,1
2024-06-14,10,22.0,85.0,997.9,0.0,10.0,10.0,0.0,0.002,0.2,0.037,0.008,16,14,1
2024-06-14,11,21.8,85.0,997.6,0.0,10.0,10.0,0.0,0.002,0.2,0.036,0.01,20,10,1
2024-06-14,12,24.4,69.0,997.0,0.0,10.0,10.0,0.0,0.002,0.2,0.04,0.004,17,10,1
2024-06-14,13,25.1,63.0,996.6,0.1,9.0,9.0,0.0,0.002,0.2,0.04,0.004,17,12,1
2024-06-14,14,25.6,68.0,996.0,0.2,9.0,8.0,0.0,0.003,0.2,0.043,0.004,16,14,1
2024-06-14,15,25.7,68.0,996.3,0.7,9.0,0.0,0.0,0.003,0.2,0.043,0.01,18,15,1
2024-06-14,16,27.6,64.0,996.4,0.9,8.0,0.0,0.0,0.003,0.2,0.044,0.009,23,12,1
2024-06-14,17,25.3,70.0,996.3,0.9,7.0,0.0,0.0,0.004,0.2,0.044,0.004,31,30,1
2024-06-14,18,24.4,69.0,996.4,0.6,9.0,0.0,0.0,0.003,0.2,0.045,0.006,19,14,1
2024-06-14,19,22.7,75.0,996.1,0.0,9.0,1.0,0.0,0.003,0.2,0.044,0.003,21,16,1
2024-06-14,20,21.3,84.0,996.1,0.0,5.0,0.0,0.0,0.003,0.2,0.049,0.004,23,18,1
2024-06-14,21,21.0,88.0,996.6,0.0,6.0,0.0,0.0,0.003,0.2,0.046,0.006,21,18,1
2024-06-14,22,21.5,88.0,997.2,0.0,8.0,8.0,0.0,0.003,0.2,0.045,0.007,25,23,1
2024-06-14,23,21.7,91.0,997.6,0.0,6.0,6.0,0.0,0.002,0.2,0.045,0.004,28,21,1
2024-06-15,1,21.0,93.0,996.8,0.0,8.0,4.0,0.0,0.003,0.2,0.041,0.003,29,19,1
2024-06-15,2,20.9,90.0,995.8,0.0,2.0,2.0,0.0,0.003,0.2,0.039,0.005,22,0,1
2024-06-15,3,20.6,91.0,995.5,0.0,6.0,0.0,0.0,0.003,0.2,0.043,0.003,14,0,1
2024-06-15,4,21.1,89.0,994.9,0.0,2.0,0.0,0.0,0.003,0.2,0.041,0.003,11,0,1
2024-06-15,5,21.2,87.0,995.2,0.0,0.0,0.0,0.0,0.003,0.2,0.041,0.002,14,0,1
2024-06-15,6,21.2,88.0,995.6,0.0,0.0,0.0,0.0,0.003,0.2,0.039,0.002,23,22,1
2024-06-15,7,22.3,83.0,996.1,0.4,7.0,7.0,0.0,0.003,0.2,0.04,0.002,21,17,1
2024-06-15,8,24.9,75.0,996.0,0.5,2.0,2.0,0.0,0.003,0.2,0.039,0.003,23,17,1
2024-06-15,9,25.7,71.0,996.0,1.0,0.0,0.0,0.0,0.004,0.2,0.038,0.003,19,0,1
2024-06-15,10,26.8,69.0,996.4,1.0,0.0,0.0,0.0,0.004,0.2,0.04,0.004,23,21,1
2024-06-15,11,27.8,65.0,996.3,1.0,0.0,0.0,0.0,0.003,0.2,0.043,0.004,21,20,1
2024-06-15,12,28.2,66.0,996.1,1.0,7.0,1.0,0.0,0.003,0.2,0.046,0.003,22,21,1
2024-06-15,13,28.7,65.0,995.6,0.6,1.0,0.0,0.0,0.003,0.2,0.047,0.003,38,24,1
2024-06-15,14,27.0,68.0,995.0,1.0,0.0,0.0,0.0,0.003,0.2,0.045,0.003,21,19,1
2024-06-15,15,26.4,73.0,994.4,1.0,6.0,0.0,0.0,0.003,0.2,0.047,0.002,26,23,1
2024-06-15,16,26.6,73.0,994.4,1.0,7.0,0.0,0.0,0.003,0.2,0.048,0.002,20,20,1
2024-06-15,17,25.9,74.0,994.5,1.0,8.0,0.0,0.0,0.003,0.2,0.045,0.003,24,23,1
2024-06-15,18,25.3,77.0,995.0,1.0,8.0,0.0,0.0,0.002,0.2,0.044,0.002,21,16,1
2024-06-15,19,23.6,84.0,995.3,1.0,0.0,0.0,0.0,0.003,0.2,0.044,0.002,31,21,1
2024-06-15,20,22.6,89.0,995.8,0.3,0.0,0.0,0.0,0.002,0.2,0.039,0.002,27,21,1
2024-06-15,21,22.5,90.0,996.3,0.0,0.0,0.0,0.0,0.002,0.2,0.036,0.002,13,0,1
2024-06-15,22,21.6,93.0,997.0,0.0,0.0,0.0,0.0,0.002,0.2,0.036,0.002,13,13,1
2024-06-15,23,21.2,95.0,997.3,0.0,2.0,2.0,0.0,0.002,0.2,0.037,0.002,22,15,1
2024-06-16,1,21.9,96.0,997.0,0.0,2.0,2.0,0.0,0.002,0.2,0.034,0.003,15,12,1
2024-06-16,2,21.5,95.0,996.9,0.0,10.0,10.0,0.0,0.002,0.2,0.028,0.004,17,15,1
2024-06-16,3,21.8,96.0,997.0,0.0,2.0,2.0,0.0,0.002,0.2,0.027,0.005,15,0,1
2024-06-16,4,21.5,96.0,997.4,0.0,0.0,0.0,0.0,0.002,0.2,0.029,0.003,18,17,1
2024-06-16,5,21.1,97.0,997.8,0.0,5.0,5.0,0.0,0.002,0.2,0.031,0.002,20,20,1
2024-06-16,6,21.3,97.0,998.4,0.0,6.0,6.0,0.0,0.002,0.2,0.028,0.004,15,0,1
2024-06-16,7,22.6,92.0,998.8,0.6,5.0,5.0,0.0,0.002,0.2,0.032,0.003,16,12,1
2024-06-16,8,24.5,84.0,999.0,1.0,3.0,1.0,0.0,0.002,0.2,0.037,0.003,10,10,1
2024-06-16,9,25.9,76.0,999.5,1.0,7.0,7.0,0.0,0.002,0.2,0.052,0.005,8,0,1
2024-06-16,10,26.5,72.0,1000.0,0.9,3.0,1.0,0.0,0.002,0.2,0.06,0.004,15,12,1
2024-06-16,11,26.5,71.0,999.9,1.0,8.0,0.0,0.0,0.002,0.2,0.063,0.002,13,9,1
2024-06-16,12,26.4,70.0,1000.2,1.0,7.0,0.0,0.0,0.002,0.2,0.064,0.002,11,11,1
2024-06-16,13,25.7,73.0,1000.2,0.7,8.0,0.0,0.0,0.002,0.2,0.062,0.002,16,7,1
2024-06-16,14,25.7,74.0,999.5,0.5,8.0,0.0,0.0,0.002,0.2,0.061,0.002,14,5,1
2024-06-16,15,27.1,68.0,999.3,0.9,6.0,0.0,0.0,0.002,0.2,0.06,0.002,18,8,1
2024-06-16,16,26.2,71.0,999.2,1.0,7.0,0.0,0.0,0.002,0.2,0.058,0.002,7,0,1
2024-06-16,17,24.6,76.0,999.5,1.0,8.0,0.0,0.0,0.002,0.2,0.055,0.002,10,0,1
2024-06-16,18,23.6,80.0,999.7,0.4,8.0,0.0,0.0,0.002,0.2,0.056,0.002,7,0,1
