날짜,시간,기온,습도(%),현지기압(hPa),일조(hr),전운량(10분위),중하층운량(10분위),수온,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,발전량(kW)
2020-01-01,1,-1.6,69.0,1031.5,0.0,9.0,9.0,8.4,0.005,0.2,0.033,0.003,8.0,5.0,1500.0
2020-01-01,2,-2.5,70.0,1032.0,0.0,4.0,4.0,8.8,0.005,0.2,0.032,0.004,12.0,5.0,1500.0
2020-01-01,3,-2.5,67.0,1032.4,0.0,9.0,9.0,9.0,0.005,0.2,0.031,0.004,10.0,6.0,700.0
2020-01-01,4,-3.0,67.0,1032.1,0.0,6.0,6.0,9.1,0.005,0.2,0.03,0.004,10.0,7.0,0.0
2020-01-01,5,-3.2,68.0,1031.7,0.0,8.0,8.0,9.1,0.005,0.2,0.03,0.004,9.0,9.0,0.0
2020-01-01,6,-3.1,69.0,1031.9,0.0,7.0,1.0,9.2,0.005,0.2,0.03,0.003,10.0,6.0,20.0
2020-01-01,7,-4.7,82.0,1032.3,0.0,5.0,2.0,9.1,0.005,0.2,0.026,0.005,12.0,6.0,90.0
2020-01-01,8,-4.7,83.0,1032.5,0.0,0.0,0.0,9.1,0.005,0.2,0.021,0.011,12.0,5.0,1090.0
2020-01-01,9,-3.6,84.0,1032.6,0.1,2.0,0.0,8.6,0.005,0.2,0.02,0.01,12.0,6.0,72070.0
2020-01-01,10,0.4,65.0,1033.2,0.9,7.0,3.0,8.3,0.005,0.2,0.026,0.008,13.0,11.0,231220.0
2020-01-01,11,3.5,61.0,1032.9,0.9,7.0,4.0,8.0,0.005,0.2,0.032,0.004,13.0,9.0,209430.0
2020-01-01,12,4.2,61.0,1031.8,0.8,7.0,6.0,8.1,0.005,0.2,0.033,0.004,11.0,8.0,275660.0
2020-01-01,13,4.7,59.0,1031.0,0.6,0.0,8.0,8.2,0.005,0.2,0.035,0.004,9.0,6.0,277620.0
2020-01-01,14,5.1,57.0,1030.2,0.0,8.0,8.0,9.0,0.005,0.2,0.034,0.005,11.0,3.0,273350.0
2020-01-01,15,4.9,62.0,1030.3,0.1,9.0,9.0,9.1,0.005,0.2,0.034,0.005,14.0,3.0,230350.0
2020-01-01,16,4.7,64.0,1031.1,0.0,9.0,9.0,9.0,0.005,0.2,0.035,0.005,16.0,7.0,157280.0
2020-01-01,17,4.6,62.0,1030.7,0.0,10.0,10.0,9.2,0.005,0.2,0.035,0.006,19.0,9.0,81660.0
2020-01-01,18,4.3,64.0,1030.5,0.0,9.0,9.0,9.0,0.005,0.2,0.033,0.007,17.0,11.0,89010.0
2020-01-01,19,4.0,62.0,1030.4,0.0,9.0,9.0,9.1,0.005,0.2,0.035,0.005,19.0,13.0,101790.0
2020-01-01,20,3.5,62.0,1030.0,0.0,5.0,5.0,9.2,0.005,0.2,0.035,0.006,17.0,12.0,114010.0
2020-01-01,21,1.0,72.0,1030.6,0.0,6.0,1.0,9.0,0.005,0.2,0.031,0.009,19.0,13.0,77810.0
2020-01-01,22,0.4,81.0,1030.7,0.0,9.0,9.0,9.1,0.005,0.2,0.031,0.007,22.0,14.0,19570.0
2020-01-01,23,-0.3,86.0,1030.8,0.0,10.0,9.0,8.3,0.005,0.3,0.029,0.006,17.0,12.0,1110.0
2020-01-02,1,-1.6,90.0,1029.2,0.0,9.0,1.0,8.1,0.005,0.3,0.029,0.006,23.0,17.0,1500.0
2020-01-02,2,-1.5,91.0,1029.0,0.0,1.0,0.0,8.1,0.005,0.3,0.031,0.006,24.0,15.0,1010.0
2020-01-02,3,-2.3,93.0,1028.8,0.0,2.0,0.0,8.8,0.006,0.3,0.029,0.007,25.0,13.0,10.0
2020-01-02,4,-3.0,93.0,1028.8,0.0,0.0,0.0,8.9,0.006,0.3,0.026,0.01,23.0,15.0,0.0
2020-01-02,5,-2.5,95.0,1029.0,0.0,10.0,2.0,9.0,0.006,0.3,0.026,0.01,24.0,17.0,0.0
