날짜,시간,발전량(kW),예측된발전량(kW)
2023-05-02,16,0,26779.51
2023-05-02,17,0,0
2023-05-02,18,124.56,0
2023-05-02,19,0,0
2023-05-02,20,0,2877.415
2023-05-02,21,62.194,0
2023-05-02,22,25367.827,0
2023-05-02,23,268652.005,0
2023-05-03,1,631599.065,0
2023-05-03,2,1099077.643,0
2023-05-03,3,977494.995,0
2023-05-03,4,1063646.453,0
2023-05-03,5,1034678.664,0
2023-05-03,6,910707.018,0
2023-05-03,7,746377.686,751481.8
2023-05-03,8,807894.93,941498.75
2023-05-03,9,486711.502,814170.06
2023-05-03,10,591931.912,723501.25
2023-05-03,11,510592.084,549589.5
2023-05-03,12,414600.764,445832.75
2023-05-03,13,374116.06,410868.72
2023-05-03,14,222460.387,285896.3
2023-05-03,15,55600.409,22623.646
2023-05-03,16,2609.823,0
2023-05-03,17,168.996,0
2023-05-03,18,427.02,0
2023-05-03,19,456.12,0
2023-05-03,20,280.08,0
2023-05-03,21,159.094,0
2023-05-03,22,33747.825,0
2023-05-03,23,393848.097,0
2023-05-04,1,998644.026,0
2023-05-04,2,1519949.523,0
2023-05-04,3,1265171.333,0
2023-05-04,4,1325320.54,0
2023-05-04,5,1382376.325,0
2023-05-04,6,1517684.445,0
2023-05-04,7,1828843.362,0
2023-05-04,8,1599490.809,0
2023-05-04,9,1124026.682,203871.11
2023-05-04,10,801340.471,708388.5
2023-05-04,11,544691.225,639184.8
2023-05-04,12,506524.474,445451.12
2023-05-04,13,476340.918,406297.5
2023-05-04,14,354538.598,332156.12
2023-05-04,15,88103.378,209095.58
2023-05-04,16,2688.176,65071.004
2023-05-04,17,134.456,149163.56
2023-05-04,18,423.552,231950.58
2023-05-04,19,453.648,495525.34
2023-05-04,20,335.568,727115.25
2023-05-04,21,162.235,715058.8
2023-05-04,22,41723.436,578112.75
2023-05-04,23,377879.761,0
2023-05-05,1,966971.184,0
2023-05-05,2,1482914.257,0
2023-05-05,3,1252180.723,0
2023-05-05,4,1364902.155,0
2023-05-05,5,1465676.81,0
2023-05-05,6,1618076.589,0
2023-05-05,7,1823520.686,0
2023-05-05,8,1549824.139,0
2023-05-05,9,1090687.759,332890.25
2023-05-05,10,799216.098,140609.03
2023-05-05,11,547087.803,39214.633
2023-05-05,12,506087.622,185781.33
2023-05-05,13,474467.56,347609.25
2023-05-05,14,354460.691,452013.28
2023-05-05,15,92154.791,525948
2023-05-05,16,2815.14,542544.75
2023-05-05,17,203.86,545103.56
2023-05-05,18,428.472,536132.25
2023-05-05,19,454.056,543422.1
2023-05-05,20,320.832,568127.1
2023-05-05,21,169.195,529145.44
2023-05-05,22,46434.643,536433.7
2023-05-05,23,362587.725,588884.5
2023-05-06,1,793440.698,0
2023-05-06,2,1312861.939,0
2023-05-06,3,1212264.189,0
2023-05-06,4,1353484.678,0
2023-05-06,5,1431794.043,0
2023-05-06,6,1545204.184,0
2023-05-06,7,1730847.21,0
2023-05-06,8,1471948.281,0
2023-05-06,9,1008512.674,0
2023-05-06,10,761561.478,0
2023-05-06,11,548459.525,0
2023-05-06,12,507964.229,710211.44
2023-05-06,13,474864.717,829375.56
2023-05-06,14,346451.246,318868.94
2023-05-06,15,86125.955,505583.4
2023-05-06,16,3114.796,602614.6
2023-05-06,17,193.26,664665.8
2023-05-06,18,288.764,610977.94
2023-05-06,19,306.456,565230.75
2023-05-06,20,169.296,516415.72
2023-05-06,21,76.064,472462.03
2023-05-06,22,24137.086,431271.97
2023-05-06,23,227247.232,420047.94
2023-05-07,1,546002.67,525885.5
2023-05-07,2,754729.934,0
2023-05-07,3,602469.862,0
2023-05-07,4,617212.881,0
