date,time,예측된발전량(kW)
2023-05-02,16,26779.51
2023-05-02,17,0.0
2023-05-02,18,0.0
2023-05-02,19,0.0
2023-05-02,20,2877.415
2023-05-02,21,0.0
2023-05-02,22,0.0
2023-05-02,23,0.0
2023-05-03,0,0.0
2023-05-03,1,0.0
2023-05-03,2,0.0
2023-05-03,3,0.0
2023-05-03,4,0.0
2023-05-03,5,0.0
2023-05-03,6,751481.8
2023-05-03,7,941498.75
2023-05-03,8,814170.06
2023-05-03,9,723501.25
2023-05-03,10,549589.5
2023-05-03,11,445832.75
2023-05-03,12,410868.72
2023-05-03,13,285896.3
2023-05-03,14,22623.646
2023-05-03,15,0.0
2023-05-03,16,0.0
2023-05-03,17,0.0
2023-05-03,18,0.0
2023-05-03,19,0.0
2023-05-03,20,0.0
2023-05-03,21,0.0
2023-05-03,22,0.0
2023-05-03,23,0.0
2023-05-04,0,0.0
2023-05-04,1,0.0
2023-05-04,2,0.0
2023-05-04,3,0.0
2023-05-04,4,0.0
2023-05-04,5,0.0
2023-05-04,6,0.0
2023-05-04,7,203871.11
2023-05-04,8,708388.5
2023-05-04,9,639184.8
2023-05-04,10,445451.12
2023-05-04,11,406297.5
2023-05-04,12,332156.12
2023-05-04,13,209095.58
2023-05-04,14,65071.004
2023-05-04,15,149163.56
2023-05-04,16,231950.58
2023-05-04,17,495525.34
2023-05-04,18,727115.25
2023-05-04,19,715058.8
2023-05-04,20,578112.75
2023-05-04,21,0.0
2023-05-04,22,0.0
2023-05-04,23,0.0
2023-05-05,0,0.0
2023-05-05,1,0.0
2023-05-05,2,0.0
2023-05-05,3,0.0
2023-05-05,4,0.0
2023-05-05,5,0.0
2023-05-05,6,332890.25
2023-05-05,7,140609.03
2023-05-05,8,39214.633
2023-05-05,9,185781.33
2023-05-05,10,347609.25
2023-05-05,11,452013.28
2023-05-05,12,525948.0
2023-05-05,13,542544.75
2023-05-05,14,545103.56
2023-05-05,15,536132.25
2023-05-05,16,543422.1
2023-05-05,17,568127.1
2023-05-05,18,529145.44
2023-05-05,19,536433.7
2023-05-05,20,588884.5
2023-05-05,21,0.0
2023-05-05,22,0.0
2023-05-05,23,0.0
2023-05-06,0,0.0
2023-05-06,1,0.0
2023-05-06,2,0.0
2023-05-06,3,0.0
2023-05-06,4,0.0
2023-05-06,5,0.0
2023-05-06,6,0.0
2023-05-06,7,0.0
2023-05-06,8,710211.44
2023-05-06,9,829375.56
2023-05-06,10,318868.94
2023-05-06,11,505583.4
2023-05-06,12,602614.6
2023-05-06,13,664665.8
2023-05-06,14,610977.94
2023-05-06,15,565230.75
2023-05-06,16,516415.72
2023-05-06,17,472462.03
2023-05-06,18,431271.97
2023-05-06,19,420047.94
2023-05-06,20,525885.5
2023-05-06,21,0.0
2023-05-06,22,0.0
2023-05-06,23,0.0
2023-05-07,0,0.0
2023-05-07,1,0.0
2023-05-07,2,0.0
2023-05-07,3,0.0
2023-05-07,4,0.0
2023-05-07,5,0.0
2023-05-07,6,0.0
2023-05-07,7,0.0
2023-05-07,8,0.0
2023-05-07,9,0.0
2023-05-07,10,0.0
2023-05-07,11,0.0
2023-05-07,12,0.0
2023-05-07,13,0.0
2023-05-07,14,0.0
2023-05-07,15,0.0
2023-05-07,16,0.0
2023-05-07,17,0.0
2023-05-07,18,0.0
2023-05-07,19,0.0
2023-05-07,20,0.0
2023-05-07,21,0.0
2023-05-07,22,0.0
2023-05-07,23,0.0
2023-05-08,0,0.0
2023-05-08,1,0.0
2023-05-08,2,0.0
2023-05-08,3,0.0
2023-05-08,4,0.0
2023-05-08,5,0.0
2023-05-08,6,0.0
2023-05-08,7,0.0
2023-05-08,8,0.0
2023-05-08,9,0.0
2023-05-08,10,0.0
2023-05-08,11,0.0
2023-05-08,12,0.0
2023-05-08,13,0.0
2023-05-08,14,0.0
2023-05-08,15,0.0
2023-05-08,16,0.0
2023-05-08,17,573238.94
2023-05-08,18,568011.1
2023-05-08,19,432672.53
2023-05-08,20,399347.7
2023-05-08,21,0.0
